period,trend,seasonal_7,seasonal_365,resid,respondent
2019-01-01,351.790547688573,-0.5384032378515449,-53.19449042091421,0.2777974718279097,FPL
2019-01-02,351.79096342660876,6.310458860439008,-41.25183699699215,-2.9640382658583917,FPL
2019-01-03,351.7913585144676,12.541227203866248,-34.95013700801545,-4.460665070087998,FPL
2019-01-04,351.7917328800092,6.876671121336982,-43.23333264561978,9.63328359659505,FPL
2019-01-05,351.79208645426166,-11.153387452190454,-71.75099715087154,16.435025218263434,FPL
2019-01-06,351.7924191543285,-17.01820125154892,-68.20151738820104,6.69689246980397,FPL
2019-01-07,351.7927308747167,4.506081469838341,-70.1264191844064,1.4471124023901893,FPL
2019-01-08,351.79302149762253,1.1889353748867895,-72.25965129707821,14.730245800808689,FPL
2019-01-09,351.79329089776337,4.815725031081345,-70.0146648397461,-0.9972543558831148,FPL
2019-01-10,351.7935389335888,10.61258947843546,-62.90420083080441,-10.139230870015922,FPL
2019-01-11,351.79376546331565,4.144856174705854,-58.06614442667378,-6.6233620730255325,FPL
2019-01-12,351.79397035820654,-11.23654100973543,-58.76923183186287,-13.394983661649064,FPL
2019-01-13,351.79415350311456,-14.406628281037435,-58.71491300910769,-6.788899781987027,FPL
2019-01-14,351.79431480107274,6.365205920301617,-60.89932222438159,-14.863921164108035,FPL
2019-01-15,351.79445417018997,2.9656101543490516,-72.82779564617722,-7.672379770833686,FPL
2019-01-16,351.79457154865116,3.2305774595003243,-64.48029354720187,4.707400650768818,FPL
2019-01-17,351.7946668858972,8.55863864214152,-76.37894446813863,13.795064549140307,FPL
2019-01-18,351.7947401250825,1.660468014445567,-76.58355669652006,1.157627822381869,FPL
2019-01-19,351.794791193448,-11.208756142861496,-63.81166116531661,-2.82883176551627,FPL
2019-01-20,351.7948200144002,-11.790193078449944,-66.99055084119429,-2.9353642240662907,FPL
2019-01-21,351.794826515125,8.062847354086392,-63.86461655732462,12.342967797072731,FPL
2019-01-22,351.79481062377323,4.6059421326222525,-48.70474661452763,-15.920191751235336,FPL
2019-01-23,351.7947722608128,1.6638940842172996,-71.70851300902305,5.333673484387987,FPL
2019-01-24,351.79471135914144,6.524940306256873,-67.98820971691691,3.630226401041739,FPL
2019-01-25,351.794627849733,-0.6398360387653422,-74.78006768928154,0.13910376296411187,FPL
2019-01-26,351.7945216587863,-11.123096865902838,-61.717566871892366,5.535861787542274,FPL
2019-01-27,351.79439271039956,-9.174973942873782,-65.16457531338301,10.200947652358593,FPL
2019-01-28,351.79424092072173,9.757066003821066,-54.64736903389053,15.799788950992365,FPL
2019-01-29,351.7940661902834,5.871440475419582,-57.96453314760584,12.49034511207833,FPL
2019-01-30,351.7938683978923,0.19411702760087524,-63.997623145612124,9.550770768216978,FPL
2019-01-31,351.7936474033427,4.550131679291217,-59.66221809309329,6.011778686826801,FPL
2019-02-01,351.79340305218585,-2.8675660405273735,-64.00473173357685,-2.997613369637236,FPL
2019-02-02,351.79313518238996,-10.882792072220685,-67.15928577032412,6.374859714288448,FPL
2019-02-03,351.7928436320743,-6.490617041074492,-56.490353373794,0.9655675000248038,FPL
2019-02-04,351.79252823364965,11.585961906695939,-66.96279359576164,-12.653720251193022,FPL
2019-02-05,351.79218882037907,6.851542430018546,-63.60503142337048,-3.9588337023695885,FPL
2019-02-06,351.79182523931695,-1.5760474283975454,-49.56353423136113,-9.645311453134298,FPL
2019-02-07,351.7914373474717,2.05960614441654,-55.74255911223541,-5.659119179262916,FPL
2019-02-08,351.7910250143395,-4.782343076206077,-52.17367331073754,-7.038812146567295,FPL
2019-02-09,351.7905881197225,-9.696063619321555,-53.610350322049676,-16.41093625605731,FPL
2019-02-10,351.79012655647927,-3.557739736464494,-49.8505395694841,-19.452601309312342,FPL
2019-02-11,351.7896402409594,13.187789883029073,-47.76916538364795,-14.793133980774087,FPL
2019-02-12,351.789129117274,7.617786926552752,-42.22349122308546,0.01219224726412449,FPL
2019-02-13,351.7885931498383,-4.107129118001905,-49.08223536237843,-25.67703345352203,FPL
2019-02-14,351.7880323139721,-1.7790868890461344,-46.11922140737362,-25.629824876919656,FPL
2019-02-15,351.7874466175315,-5.35499891770947,-45.446902859622824,-14.811242992634277,FPL
2019-02-16,351.7868361046246,-7.455030732142939,-43.58227440103169,-18.419762836655252,FPL
2019-02-17,351.78620084596565,-0.7814636316654638,-37.08279142420101,-7.955258422195982,FPL
2019-02-18,351.7855409372662,14.341895888271617,-17.836225478425053,2.053420323490002,FPL
2019-02-19,351.78485648756464,7.986429966011217,-6.709057148569234,-1.6479123843588468,FPL
2019-02-20,351.7841476079143,-6.664413383846053,-0.7939663448369905,7.79953664387881,FPL
2019-02-21,351.7834144102812,-4.653310085620524,-19.19430170848147,23.533422659155462,FPL
2019-02-22,351.78265699555345,-4.97913422913191,-19.66233109483559,26.25340740976111,FPL
2019-02-23,351.7818754354706,-6.073225666146449,-17.421609180072448,21.295101598674364,FPL
2019-02-24,351.78106976736296,1.1450060177233594,-23.37613366166659,11.713463203061849,FPL
2019-02-25,351.78024000048595,15.78358966462178,-40.10454753100681,-7.857703081086925,FPL
2019-02-26,351.7793861309344,7.010976136390284,-38.83939116435991,-10.805308370976377,FPL
2019-02-27,351.7785081632562,-8.283812983441887,-49.983035826718236,18.526981934380274,FPL
2019-02-28,351.77760611101644,-6.379481702152686,-42.158841516194016,2.894407868674648,FPL
2019-03-01,351.7766799734409,-4.66806885151337,-32.860092593077084,-3.1174346441757166,FPL
2019-03-02,351.7757297446196,-5.3710533140613395,-35.167341464192376,5.574145793173102,FPL
