Dataset,Gamma,Eta,Mu,Mu_CI_lower,Mu_CI_upper,Sigma,Sigma_CI_lower,Sigma_CI_upper,Beta,Beta_CI_lower,Beta_CI_upper,Effective_Decorr_Time,Lag1_ACF,Lag1_ACF_CI_lower,Lag1_ACF_CI_upper
AZPS,11.303104,16.837593,-0.09003656,-1.1028400272130967,1.1224985241889949,6.184892,5.6685718417167665,6.875063109397888,0.03217545,-0.1205552201718092,0.2053007997572422,25,0.88035977,0.8560492143034935,0.9002897754311562
ERCO,10.420652,19.691502,-1.9789327,-13.35764696598053,12.958856558799742,77.67577,74.94686374664306,87.89426593780517,-0.026638294,-0.21179663836956025,0.1787971705198288,18,0.84930706,0.8269278272986412,0.8693479508161545
CISO,10.159624,17.122211,0.38098195,-4.467583501338958,5.34763218164444,29.49821,27.165202569961547,32.204224777221675,0.0975239,-0.0922379370778799,0.2305788367986679,20,0.8560262,0.8311714887619018,0.8768712177872657
NYIS,10.052309,19.95306,-0.63247156,-3.1328524708747865,4.060817754268646,23.5825,22.48542175292969,26.124955272674562,0.06700404,-0.1410058856010437,0.25548314601182937,17,0.83236927,0.8218076169490814,0.8464432030916214
PJM,10.313377,19.78179,-2.8200564,-20.359690761566164,20.43565883636474,129.57625,124.8387939453125,145.38110427856444,0.08777863,-0.09109260737895965,0.29481551647186277,18,0.8426941,0.8246554732322693,0.8601669386029244
MISO,10.791162,17.729553,-3.9754095,-17.140086317062377,12.120881223678587,87.667366,80.89113559722901,95.96266117095948,0.049891174,-0.11657731719315052,0.22355997227132318,22,0.86236465,0.8373215228319169,0.8827200263738633
FPL,10.082706,19.916485,-1.2885752,-4.112855458259583,3.4642378449439994,25.186134,24.122788000106812,28.11976866722107,-0.12452097,-0.3602223515510559,0.09734476208686828,17,0.8382195,0.8232378408312797,0.8544826716184616
DUK,10.041801,19.965466,-0.7189169,-3.0989429652690887,3.631717526912688,22.7904,21.708163022994995,24.937037706375122,0.05991619,-0.1639745883643627,0.26353076472878456,17,0.8303146,0.8212750509381295,0.8440723121166229
BPAT,10.214479,15.439185,-0.042007323,-1.233876046538353,1.6519138544797891,8.079654,7.4230893611907955,9.106321167945861,0.12756243,-0.01640608599409461,0.31620883941650385,23,0.8684684,0.843596225976944,0.8893548041582108
