"Step","04_12_12_36_45 - val_bce_1500","04_12_12_36_45 - val_bce_1500__MIN","04_12_12_36_45 - val_bce_1500__MAX"
"5500","0.46514591574668884","0.46514591574668884","0.46514591574668884"
"6000","0.46666955947875977","0.46666955947875977","0.46666955947875977"
"6500","0.45116421580314636","0.45116421580314636","0.45116421580314636"
"7000","0.4418659210205078","0.4418659210205078","0.4418659210205078"
"7500","0.44262462854385376","0.44262462854385376","0.44262462854385376"
"8000","0.44605788588523865","0.44605788588523865","0.44605788588523865"
"8500","0.45458245277404785","0.45458245277404785","0.45458245277404785"
"9000","0.42858901619911194","0.42858901619911194","0.42858901619911194"
"9500","0.4299996495246887","0.4299996495246887","0.4299996495246887"
"10000","0.42586931586265564","0.42586931586265564","0.42586931586265564"
"10500","0.42262744903564453","0.42262744903564453","0.42262744903564453"
"11000","0.4213065803050995","0.4213065803050995","0.4213065803050995"
"11500","0.4469485878944397","0.4469485878944397","0.4469485878944397"
"12000","0.4225166440010071","0.4225166440010071","0.4225166440010071"
"12500","0.41907793283462524","0.41907793283462524","0.41907793283462524"
"13000","0.4275621473789215","0.4275621473789215","0.4275621473789215"
"13500","0.4148455262184143","0.4148455262184143","0.4148455262184143"
"14000","0.4135899543762207","0.4135899543762207","0.4135899543762207"
"14500","0.4151167869567871","0.4151167869567871","0.4151167869567871"
"15000","0.40748903155326843","0.40748903155326843","0.40748903155326843"
"15500","0.4322333335876465","0.4322333335876465","0.4322333335876465"
"16000","0.41458970308303833","0.41458970308303833","0.41458970308303833"
"16500","0.4111977517604828","0.4111977517604828","0.4111977517604828"
"17000","0.4139089286327362","0.4139089286327362","0.4139089286327362"
"17500","0.40711864829063416","0.40711864829063416","0.40711864829063416"
"18000","0.4061935842037201","0.4061935842037201","0.4061935842037201"
"18500","0.4077632427215576","0.4077632427215576","0.4077632427215576"
"19000","0.40889620780944824","0.40889620780944824","0.40889620780944824"
"19500","0.40556803345680237","0.40556803345680237","0.40556803345680237"
"20000","0.4025660455226898","0.4025660455226898","0.4025660455226898"
"20500","0.425525039434433","0.425525039434433","0.425525039434433"
"21000","0.4171123504638672","0.4171123504638672","0.4171123504638672"
"21500","0.40276390314102173","0.40276390314102173","0.40276390314102173"
"22000","0.4055045247077942","0.4055045247077942","0.4055045247077942"
"22500","0.40248894691467285","0.40248894691467285","0.40248894691467285"
"23000","0.3990510106086731","0.3990510106086731","0.3990510106086731"
"23500","0.40313610434532166","0.40313610434532166","0.40313610434532166"
"24000","0.40319761633872986","0.40319761633872986","0.40319761633872986"
"24500","0.4021308124065399","0.4021308124065399","0.4021308124065399"
"25000","0.4023747444152832","0.4023747444152832","0.4023747444152832"
"25500","0.40609127283096313","0.40609127283096313","0.40609127283096313"
"26000","0.4016510546207428","0.4016510546207428","0.4016510546207428"
"26500","0.397567480802536","0.397567480802536","0.397567480802536"
"27000","0.4035871624946594","0.4035871624946594","0.4035871624946594"
"27500","0.4035431444644928","0.4035431444644928","0.4035431444644928"
"28000","0.3979577422142029","0.3979577422142029","0.3979577422142029"
"28500","0.400353342294693","0.400353342294693","0.400353342294693"
"29000","0.3981072008609772","0.3981072008609772","0.3981072008609772"
"29500","0.39758142828941345","0.39758142828941345","0.39758142828941345"
"30000","0.39577528834342957","0.39577528834342957","0.39577528834342957"
"30500","0.40272971987724304","0.40272971987724304","0.40272971987724304"
"31000","0.395768404006958","0.395768404006958","0.395768404006958"
"31500","0.395212858915329","0.395212858915329","0.395212858915329"
"32000","0.395797997713089","0.395797997713089","0.395797997713089"
"32500","0.39748844504356384","0.39748844504356384","0.39748844504356384"
"33000","0.3973650336265564","0.3973650336265564","0.3973650336265564"
"33500","0.39512869715690613","0.39512869715690613","0.39512869715690613"
"34000","0.39494991302490234","0.39494991302490234","0.39494991302490234"
"34500","0.3952513635158539","0.3952513635158539","0.3952513635158539"
"35000","0.3949754536151886","0.3949754536151886","0.3949754536151886"
"35500","0.3970389664173126","0.3970389664173126","0.3970389664173126"
"36000","0.39581987261772156","0.39581987261772156","0.39581987261772156"
"36500","0.3950943648815155","0.3950943648815155","0.3950943648815155"
"37000","0.39452192187309265","0.39452192187309265","0.39452192187309265"
"37500","0.3951534926891327","0.3951534926891327","0.3951534926891327"
"38000","0.39486604928970337","0.39486604928970337","0.39486604928970337"
"38500","0.39474812150001526","0.39474812150001526","0.39474812150001526"
"39000","0.3957136571407318","0.3957136571407318","0.3957136571407318"
"39500","0.3947685658931732","0.3947685658931732","0.3947685658931732"
"40000","0.3945530354976654","0.3945530354976654","0.3945530354976654"
