"Step","04_12_00_32_46 - val_S_1500","04_12_00_32_46 - val_S_1500__MIN","04_12_00_32_46 - val_S_1500__MAX"
"5500","1.4707684516906738","1.4707684516906738","1.4707684516906738"
"6000","1.63982355594635","1.63982355594635","1.63982355594635"
"6500","1.6787155866622925","1.6787155866622925","1.6787155866622925"
"7000","1.5734591484069824","1.5734591484069824","1.5734591484069824"
"7500","1.498716115951538","1.498716115951538","1.498716115951538"
"8000","1.6046316623687744","1.6046316623687744","1.6046316623687744"
"8500","1.7141237258911133","1.7141237258911133","1.7141237258911133"
"9000","1.6812219619750977","1.6812219619750977","1.6812219619750977"
"9500","1.6190294027328491","1.6190294027328491","1.6190294027328491"
"10000","1.6351238489151","1.6351238489151","1.6351238489151"
"10500","1.6498682498931885","1.6498682498931885","1.6498682498931885"
"11000","1.517657995223999","1.517657995223999","1.517657995223999"
"11500","1.7071911096572876","1.7071911096572876","1.7071911096572876"
"12000","1.693299651145935","1.693299651145935","1.693299651145935"
"12500","1.7049198150634766","1.7049198150634766","1.7049198150634766"
"13000","1.5404046773910522","1.5404046773910522","1.5404046773910522"
"13500","1.6206350326538086","1.6206350326538086","1.6206350326538086"
"14000","1.6653207540512085","1.6653207540512085","1.6653207540512085"
"14500","1.6775463819503784","1.6775463819503784","1.6775463819503784"
"15000","1.7733452320098877","1.7733452320098877","1.7733452320098877"
"15500","1.7023874521255493","1.7023874521255493","1.7023874521255493"
"16000","1.6771090030670166","1.6771090030670166","1.6771090030670166"
"16500","1.7791496515274048","1.7791496515274048","1.7791496515274048"
"17000","1.6885778903961182","1.6885778903961182","1.6885778903961182"
"17500","1.7191221714019775","1.7191221714019775","1.7191221714019775"
"18000","1.7122191190719604","1.7122191190719604","1.7122191190719604"
"18500","1.7606362104415894","1.7606362104415894","1.7606362104415894"
"19000","1.7185262441635132","1.7185262441635132","1.7185262441635132"
"19500","1.7115999460220337","1.7115999460220337","1.7115999460220337"
"20000","1.71242356300354","1.71242356300354","1.71242356300354"
"20500","1.640390396118164","1.640390396118164","1.640390396118164"
"21000","1.8125505447387695","1.8125505447387695","1.8125505447387695"
"21500","1.7608550786972046","1.7608550786972046","1.7608550786972046"
"22000","1.8378857374191284","1.8378857374191284","1.8378857374191284"
"22500","1.7539066076278687","1.7539066076278687","1.7539066076278687"
"23000","1.7340396642684937","1.7340396642684937","1.7340396642684937"
"23500","1.7162364721298218","1.7162364721298218","1.7162364721298218"
"24000","1.7536157369613647","1.7536157369613647","1.7536157369613647"
"24500","1.727693796157837","1.727693796157837","1.727693796157837"
"25000","1.7174476385116577","1.7174476385116577","1.7174476385116577"
"25500","1.7948716878890991","1.7948716878890991","1.7948716878890991"
"26000","1.7560080289840698","1.7560080289840698","1.7560080289840698"
"26500","1.8200911283493042","1.8200911283493042","1.8200911283493042"
"27000","1.6521209478378296","1.6521209478378296","1.6521209478378296"
"27500","1.7393568754196167","1.7393568754196167","1.7393568754196167"
"28000","1.7183008193969727","1.7183008193969727","1.7183008193969727"
"28500","1.6824601888656616","1.6824601888656616","1.6824601888656616"
"29000","1.7772992849349976","1.7772992849349976","1.7772992849349976"
"29500","1.7398966550827026","1.7398966550827026","1.7398966550827026"
"30000","1.7536855936050415","1.7536855936050415","1.7536855936050415"
"30500","1.759142279624939","1.759142279624939","1.759142279624939"
"31000","1.761758804321289","1.761758804321289","1.761758804321289"
"31500","1.8143808841705322","1.8143808841705322","1.8143808841705322"
"32000","1.7751821279525757","1.7751821279525757","1.7751821279525757"
"32500","1.780792236328125","1.780792236328125","1.780792236328125"
"33000","1.7841110229492188","1.7841110229492188","1.7841110229492188"
"33500","1.760970950126648","1.760970950126648","1.760970950126648"
"34000","1.8418407440185547","1.8418407440185547","1.8418407440185547"
"34500","1.8153412342071533","1.8153412342071533","1.8153412342071533"
"35000","1.7737350463867188","1.7737350463867188","1.7737350463867188"
"35500","1.787990927696228","1.787990927696228","1.787990927696228"
"36000","1.7814310789108276","1.7814310789108276","1.7814310789108276"
"36500","1.812616229057312","1.812616229057312","1.812616229057312"
"37000","1.7897064685821533","1.7897064685821533","1.7897064685821533"
"37500","1.7935656309127808","1.7935656309127808","1.7935656309127808"
"38000","1.7955502271652222","1.7955502271652222","1.7955502271652222"
"38500","1.7867109775543213","1.7867109775543213","1.7867109775543213"
"39000","1.7888246774673462","1.7888246774673462","1.7888246774673462"
"39500","1.7918280363082886","1.7918280363082886","1.7918280363082886"
"40000","1.7945539951324463","1.7945539951324463","1.7945539951324463"
