"Step","04_12_00_32_46 - val_acc_1500","04_12_00_32_46 - val_acc_1500__MIN","04_12_00_32_46 - val_acc_1500__MAX"
"5500","0.8763672113418579","0.8763672113418579","0.8763672113418579"
"6000","0.8763672113418579","0.8763672113418579","0.8763672113418579"
"6500","0.876171886920929","0.876171886920929","0.876171886920929"
"7000","0.8755859732627869","0.8755859732627869","0.8755859732627869"
"7500","0.880664050579071","0.880664050579071","0.880664050579071"
"8000","0.877148449420929","0.877148449420929","0.877148449420929"
"8500","0.8763672113418579","0.8763672113418579","0.8763672113418579"
"9000","0.880664050579071","0.880664050579071","0.880664050579071"
"9500","0.875","0.875","0.875"
"10000","0.8824219107627869","0.8824219107627869","0.8824219107627869"
"10500","0.8828125","0.8828125","0.8828125"
"11000","0.8802734613418579","0.8802734613418579","0.8802734613418579"
"11500","0.8812500238418579","0.8812500238418579","0.8812500238418579"
"12000","0.878125011920929","0.878125011920929","0.878125011920929"
"12500","0.881054699420929","0.881054699420929","0.881054699420929"
"13000","0.8802734613418579","0.8802734613418579","0.8802734613418579"
"13500","0.8818359375","0.8818359375","0.8818359375"
"14000","0.8804687857627869","0.8804687857627869","0.8804687857627869"
"14500","0.8822265863418579","0.8822265863418579","0.8822265863418579"
"15000","0.8863281607627869","0.8863281607627869","0.8863281607627869"
"15500","0.8814453482627869","0.8814453482627869","0.8814453482627869"
"16000","0.881054699420929","0.881054699420929","0.881054699420929"
"16500","0.886523425579071","0.886523425579071","0.886523425579071"
"17000","0.8802734613418579","0.8802734613418579","0.8802734613418579"
"17500","0.8833984732627869","0.8833984732627869","0.8833984732627869"
"18000","0.884570300579071","0.884570300579071","0.884570300579071"
"18500","0.8843750357627869","0.8843750357627869","0.8843750357627869"
"19000","0.881054699420929","0.881054699420929","0.881054699420929"
"19500","0.8828125","0.8828125","0.8828125"
"20000","0.8832031488418579","0.8832031488418579","0.8832031488418579"
"20500","0.887499988079071","0.887499988079071","0.887499988079071"
"21000","0.885937511920929","0.885937511920929","0.885937511920929"
"21500","0.8792968988418579","0.8792968988418579","0.8792968988418579"
"22000","0.8861328363418579","0.8861328363418579","0.8861328363418579"
"22500","0.8843750357627869","0.8843750357627869","0.8843750357627869"
"23000","0.8896484375","0.8896484375","0.8896484375"
"23500","0.886523425579071","0.886523425579071","0.886523425579071"
"24000","0.888476550579071","0.888476550579071","0.888476550579071"
"24500","0.8863281607627869","0.8863281607627869","0.8863281607627869"
"25000","0.886523425579071","0.886523425579071","0.886523425579071"
"25500","0.8873047232627869","0.8873047232627869","0.8873047232627869"
"26000","0.8892578482627869","0.8892578482627869","0.8892578482627869"
"26500","0.888671875","0.888671875","0.888671875"
"27000","0.880664050579071","0.880664050579071","0.880664050579071"
"27500","0.890625","0.890625","0.890625"
"28000","0.888476550579071","0.888476550579071","0.888476550579071"
"28500","0.883593738079071","0.883593738079071","0.883593738079071"
"29000","0.8892578482627869","0.8892578482627869","0.8892578482627869"
"29500","0.8910156488418579","0.8910156488418579","0.8910156488418579"
"30000","0.887890636920929","0.887890636920929","0.887890636920929"
"30500","0.889453113079071","0.889453113079071","0.889453113079071"
"31000","0.889843761920929","0.889843761920929","0.889843761920929"
"31500","0.8890625238418579","0.8890625238418579","0.8890625238418579"
"32000","0.8919922113418579","0.8919922113418579","0.8919922113418579"
"32500","0.8890625238418579","0.8890625238418579","0.8890625238418579"
"33000","0.8900390863418579","0.8900390863418579","0.8900390863418579"
"33500","0.8916015625","0.8916015625","0.8916015625"
"34000","0.8929687738418579","0.8929687738418579","0.8929687738418579"
"34500","0.8912109732627869","0.8912109732627869","0.8912109732627869"
"35000","0.890429675579071","0.890429675579071","0.890429675579071"
"35500","0.8916015625","0.8916015625","0.8916015625"
"36000","0.8919922113418579","0.8919922113418579","0.8919922113418579"
"36500","0.892773449420929","0.892773449420929","0.892773449420929"
"37000","0.891406238079071","0.891406238079071","0.891406238079071"
"37500","0.892578125","0.892578125","0.892578125"
"38000","0.892578125","0.892578125","0.892578125"
"38500","0.892382800579071","0.892382800579071","0.892382800579071"
"39000","0.892773449420929","0.892773449420929","0.892773449420929"
"39500","0.892773449420929","0.892773449420929","0.892773449420929"
"40000","0.8929687738418579","0.8929687738418579","0.8929687738418579"
