period,trend,seasonal_7,seasonal_365,resid,respondent
2019-01-01,154.8108008480816,10.014226145237755,11.383241874307913,0.12610893662937883,BPAT
2019-01-02,154.80010706952066,5.789911035788419,17.378200422355334,0.9209089292537556,BPAT
2019-01-03,154.78942832324685,-6.346397052104744,10.753415590785318,3.6789154420421823,BPAT
2019-01-04,154.77876465271194,-8.33105095636961,15.821923758242527,1.1209651290736247,BPAT
2019-01-05,154.768116096654,-9.926301128431845,20.76776137409494,0.5951079567779232,BPAT
2019-01-06,154.75748269128746,-3.4529426220356383,19.144400592421093,-1.489992749171222,BPAT
2019-01-07,154.7468644721664,11.613125928767749,9.909075400908582,1.500516903328304,BPAT
2019-01-08,154.7362614757927,9.324873954329506,16.015914911163243,-1.4428813374906895,BPAT
2019-01-09,154.7256737376968,5.362352742856135,17.412477222462325,-5.211798931552664,BPAT
2019-01-10,154.71510129585758,-4.703815829869148,19.882856221999624,-8.394462290846207,BPAT
2019-01-11,154.7045441964705,-6.977191427234388,14.363713928497928,-4.809293529700341,BPAT
2019-01-12,154.69400249745215,-9.691582430482226,14.544680525418604,-3.6562586878559387,BPAT
2019-01-13,154.68347626510166,-3.9389944379653774,12.16623563112937,0.6289867541153171,BPAT
2019-01-14,154.67296557071435,10.106358534351616,12.752626191942593,5.387485728332109,BPAT
2019-01-15,154.66247048436148,8.611652288223187,21.599150945199423,2.5977424135524245,BPAT
2019-01-16,154.65199106936134,4.904536631562956,14.311730995547988,5.308016085343013,BPAT
2019-01-17,154.6415273832561,-3.1848514926198455,17.354220049002436,1.2187597788052926,BPAT
2019-01-18,154.6310794767404,-5.67482769244001,17.015409574229768,4.203577188397475,BPAT
2019-01-19,154.62064739648198,-9.42904195571386,9.457440064171497,5.79755408369553,BPAT
2019-01-20,154.61023118261994,-4.384039076414254,13.890686688316125,5.021011593896503,BPAT
2019-01-21,154.5998308664689,8.730055445708969,12.054516821313811,-1.2851760679005224,BPAT
2019-01-22,154.58944647257073,7.905196451335689,13.166986788679132,-0.3695166973294022,BPAT
2019-01-23,154.5790780252698,4.44050950689778,9.467724522404922,-3.478031754386791,BPAT
2019-01-24,154.56872555022204,-1.8145092429393639,13.67183824126254,-2.8254259136815563,BPAT
2019-01-25,154.5583890772227,-4.418757262202618,14.176238358940797,-3.4127214322140276,BPAT
2019-01-26,154.54806864049098,-9.121459006309372,15.297958271008174,-1.59283867788875,BPAT
2019-01-27,154.53776427861638,-4.802072931271947,14.611793321288879,-6.694301716636829,BPAT
2019-01-28,154.5274760341498,7.430686262461208,12.555453953891487,-6.885047071314375,BPAT
2019-01-29,154.51720395843728,7.2064179122877094,18.096245768036837,-3.8594344017804474,BPAT
2019-01-30,154.50694811235488,3.9931593287893343,18.095283633957017,-0.9305967970621225,BPAT
2019-01-31,154.49670856250268,-0.5090471893995507,12.725072049645396,3.7832867635217156,BPAT
2019-02-01,154.48648537621068,-3.1761602839853422,14.459846909391862,3.0197692205715896,BPAT
2019-02-02,154.4762786161657,-8.785091616354336,19.834187561864162,-4.658904577677674,BPAT
2019-02-03,154.46608834191863,-5.282056360723219,28.334115308951965,-2.5610509419644245,BPAT
2019-02-04,154.45591461732883,6.126324051221903,40.16788372221455,3.025600462665466,BPAT
2019-02-05,154.44575750898076,6.373886434422061,35.899516745814225,7.454866887971576,BPAT
2019-02-06,154.43561707889486,3.586125785566571,32.112931136626976,16.454311421137447,BPAT
2019-02-07,154.42549337638636,1.0627134430583107,34.28418951671394,16.709881046067693,BPAT
2019-02-08,154.41538642783232,-1.9290231668455617,34.77974317677392,10.860455732062036,BPAT
2019-02-09,154.40529623557535,-8.5687539284532,37.747123469292376,11.277874177707332,BPAT
2019-02-10,154.39522278356554,-6.016308347270933,36.957361334985066,13.646406583294265,BPAT
2019-02-11,154.38516603777973,4.920788878392898,32.49632769229664,6.4151480199674324,BPAT
2019-02-12,154.37512594552467,5.937354281027925,27.638454509366934,1.430985681817134,BPAT
2019-02-13,154.36510244320465,3.902442522355628,32.612172667564124,-7.954428713252213,BPAT
2019-02-14,154.3550954653059,1.7274463100543254,35.89227037925799,-2.922132095937684,BPAT
2019-02-15,154.34510495362,-1.3935448175152712,31.02192881092054,0.30259991865656843,BPAT
2019-02-16,154.33513085383416,-8.372641913140274,27.78496487089155,6.98212022456724,BPAT
2019-02-17,154.32517310951357,-6.647576556886387,21.35162091812208,6.844839112282699,BPAT
2019-02-18,154.31523165481644,4.757721128912967,24.6437359712908,4.251962017253334,BPAT
2019-02-19,154.30530641359985,5.63409340964363,27.743402462521626,1.0878511629968273,BPAT
2019-02-20,154.29539730271424,4.15535673025661,26.709673275934936,1.6281813074633362,BPAT
2019-02-21,154.2855042355433,1.641799924089526,27.414411215423016,4.220809178622488,BPAT
2019-02-22,154.27562712160878,-1.1437197537507262,26.519544407122563,9.198556842020452,BPAT
2019-02-23,154.26576586274334,-7.908949497485256,21.705170299244166,4.277546804409525,BPAT
2019-02-24,154.2559203488421,-6.692453620551215,25.85415844020782,4.89307439335451,BPAT
2019-02-25,154.24609046120474,4.694945643186609,25.602308395973605,6.880787020788773,BPAT
2019-02-26,154.2362760726223,5.173970887794258,25.544911709601116,11.574462243876127,BPAT
2019-02-27,154.22647704420558,4.034120493776591,23.42104965658181,14.67011521236202,BPAT
2019-02-28,154.2166932196937,1.1975295479054628,18.54683862460269,12.22263317306647,BPAT
2019-03-01,154.20692442193456,-0.7533971520866358,19.556077441368604,11.83409725309022,BPAT
2019-03-02,154.19717045449934,-7.131073763718018,19.416664722732698,15.175762232706745,BPAT
